metric,pca0,pca1,pca2
mean__chm,0.20102867802153887,0.36141716486449976,-0.07882155530790907
max__chm,0.11919951718583532,0.40526802252849603,-0.1363106150475425
mean__veg_height_q30,0.2615980100391698,0.2744111068314772,0.2054898864667282
mean__canopy_cover_gt1m,0.34919348577156045,0.0908850639140003,-0.09217342868164642
mean__fhd,0.3279120520370434,0.1487276404835042,-0.13248095621234765
mean__veg_height_cv,-0.24332522232667522,0.16910503673217545,-0.3950736982289552
mean__vci,0.2930246310837663,-0.197582974710812,-0.051527468600319544
mean__crr,0.26975407154001263,-0.020790326374049047,0.4688469683447065
mean__veg_height_kurt,0.06069028020053818,0.16163677305782065,0.5717855539985357
sd__chm,0.003010997172666519,0.41836101341986826,-0.13318927627724234
cv__chm,-0.30763295286695586,0.13647171710767453,-0.07051376357964499
sd__canopy_cover_gt1m,-0.34766099646915916,-0.021332641558036703,0.21553209009277566
sd__vci,-0.3195817793463074,-0.03849761866904183,0.25921069958756315
sd__fhd,-0.22016754545256487,0.26476032696085144,0.19766232555619204
sd__crr,-0.23298705565522407,0.30222496143391925,-0.015972429585517086
sd__veg_height_skew,-0.07454768201729955,0.38501194604061556,0.16049136328515537
